date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:12:15	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2014:42:15%20GMT	https://rkwaterproofingcom.in/about.html	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/about-2.html	(from https://rkwaterproofingcom.in/index.php)
20:12:15	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2014:42:15%20GMT	https://rkwaterproofingcom.in/team.html	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/team.html	(from https://rkwaterproofingcom.in/index.php)
20:12:16	51010/51010	---M--	200	added ('OK')	image/png	etag:%22c742-5f5838f954a80%22	https://rkwaterproofingcom.in/assets/images/shapes/site-footer-shape-1.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/shapes/site-footer-shape-1.png	(from https://rkwaterproofingcom.in/index.php)
20:12:16	122171/122171	---M--	200	added ('OK')	image/png	etag:%221dd3b-5f558a0b99f80%22	https://rkwaterproofingcom.in/assets/images/resources/footer-widget-img-1.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/footer-widget-img-1.png	(from https://rkwaterproofingcom.in/index.php)
20:12:16	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Mar%202024%2014:42:16%20GMT	https://rkwaterproofingcom.in/index.html	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/index-2.html	(from https://rkwaterproofingcom.in/index.php)
20:12:16	10204/10204	---M--	200	added ('OK')	image/png	etag:%2227dc-5f5589fa6f700%22	https://rkwaterproofingcom.in/assets/images/resources/logo-1.png	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/images/resources/logo-1.png	(from https://rkwaterproofingcom.in/index.php)
20:12:16	89501/89501	---M--	200	added ('OK')	application/javascript	etag:%2215d9d-5f558a0b99f80%22	https://rkwaterproofingcom.in/assets/vendors/jquery/jquery-3.6.0.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/jquery/jquery-3.6.0.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:17	80427/80427	---M--	200	added ('OK')	application/javascript	etag:%2213a2b-5f558a0b99f80%22	https://rkwaterproofingcom.in/assets/vendors/bootstrap/js/bootstrap.bundle.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/bootstrap/js/bootstrap.bundle.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:17	15498/15498	---M--	200	added ('OK')	application/javascript	etag:%223c8a-5f558a0b99f80%22	https://rkwaterproofingcom.in/assets/vendors/jarallax/jarallax.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/jarallax/jarallax.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:17	2381/2381	---M--	200	added ('OK')	application/javascript	etag:%2294d-5f558a0b99f80%22	https://rkwaterproofingcom.in/assets/vendors/jquery-ajaxchimp/jquery.ajaxchimp.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/jquery-ajaxchimp/jquery.ajaxchimp.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:17	1266/1266	---M--	200	added ('OK')	application/javascript	etag:%224f2-5f558a0b99f80%22	https://rkwaterproofingcom.in/assets/vendors/jquery-appear/jquery.appear.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/jquery-appear/jquery.appear.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:18	4445/4445	---M--	200	added ('OK')	application/javascript	etag:%22115d-5f558a0b99f80%22	https://rkwaterproofingcom.in/assets/vendors/jquery-circle-progress/jquery.circle-progress.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/jquery-circle-progress/jquery.circle-progress.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:18	20216/20216	---M--	200	added ('OK')	application/javascript	etag:%224ef8-5f558a0d82400%22	https://rkwaterproofingcom.in/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:18	21090/21090	---M--	200	added ('OK')	application/javascript	etag:%225262-5f558a0d82400%22	https://rkwaterproofingcom.in/assets/vendors/jquery-validate/jquery.validate.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/jquery-validate/jquery.validate.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:18	23882/23882	---M--	200	added ('OK')	application/javascript	etag:%225d4a-5f558a0d82400%22	https://rkwaterproofingcom.in/assets/vendors/nouislider/nouislider.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/nouislider/nouislider.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:18	9896/9896	---M--	200	added ('OK')	application/javascript	etag:%2226a8-5f558a0d82400%22	https://rkwaterproofingcom.in/assets/vendors/odometer/odometer.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/odometer/odometer.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:19	140929/140929	---M--	200	added ('OK')	application/javascript	etag:%2222681-5f558a0d82400%22	https://rkwaterproofingcom.in/assets/vendors/swiper/swiper.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/swiper/swiper.min.js	(from https://rkwaterproofingcom.in/index.php)
20:12:19	31780/31780	---M--	200	added ('OK')	application/javascript	etag:%227c24-5f558a0d82400%22	https://rkwaterproofingcom.in/assets/vendors/tiny-slider/tiny-slider.min.js	C:/Users/admin/Downloads/delete/ninfra/website/ninfra-rk/rkwaterproofingcom.in/assets/vendors/tiny-slider/tiny-slider.min.js	(from https://rkwaterproofingcom.in/index.php)
